Product,Create at,Stock,Price,Publish
Nike Air Force 1 NDESTRUKT,2024-01-09T10:56:05.760Z,Out of stock,83.74,Draft
Foundations Matte Flip Flop,2024-01-08T09:56:05.760Z,In stock,97.14,Published
Nike Air Zoom Pegasus 37 A.I.R. Chaz Bear,2024-01-07T08:56:05.760Z,Low stock,68.71,Published
Arizona Soft Footbed Sandal,2024-01-06T07:56:05.760Z,In stock,85.21,Draft
Boston Soft Footbed Sandal,2024-01-05T06:56:05.760Z,Low stock,52.17,Published
Zoom Freak 2,2024-01-04T05:56:05.760Z,In stock,25.18,Published
Gazelle Vintage low-top sneakers,2024-01-03T04:56:05.760Z,Out of stock,43.84,Draft
Jordan Delta,2024-01-02T03:56:05.760Z,In stock,60.98,Published
Air Jordan XXXV PF,2024-01-01T02:56:05.760Z,Low stock,98.42,Published
Rod Laver low-top sneakers,2023-12-31T01:56:05.760Z,In stock,53.37,Draft
Kyrie 7 EP Sisterhood,2023-12-30T00:56:05.760Z,Low stock,72.75,Published
Pharrell Williams Human Race NMD sneakers,2023-12-28T23:56:05.760Z,In stock,56.61,Published
Nike Blazer Low 77 Vintage,2023-12-27T22:56:05.760Z,Out of stock,64.55,Draft
ASMC Winter Boot Cold.Rdy,2023-12-26T21:56:05.760Z,In stock,77.32,Published
ZX 8000 Lego sneakers,2023-12-25T20:56:05.760Z,Low stock,60.62,Published
Ultraboost 21 sneakers,2023-12-24T19:56:05.760Z,In stock,79.81,Draft
2750 Cotu Classic Sneaker,2023-12-23T18:56:05.760Z,Low stock,93.68,Published
ZX 9000 A-ZX Series sneakers,2023-12-22T17:56:05.761Z,In stock,47.44,Published
Madrid Big Buckle Sandal,2023-12-21T16:56:05.761Z,Out of stock,76.24,Draft
Chuck 70 Hi Sneaker,2023-12-20T15:56:05.761Z,In stock,92.87,Published
